a,b,reltype
Q100153927,Q233371,sibling
Q104469789,Q485517,sibling
Q104542739,Q332998,spouse
Q10457763,Q626074,sibling
Q105704925,Q489867,father
Q105705317,Q269742,child
Q105706367,Q490192,mother
Q1062006,Q41117,sibling
Q1062006,Q489279,father
Q10665,Q263732,spouse
Q10665,Q271067,sibling
Q10665,Q317824,child
Q10665,Q385795,child
Q10665,Q463949,mother
Q10665,Q487289,spouse
Q10665,Q6762628,spouse
Q10665,Q705212,spouse
Q10665,Q705218,child
Q10665,Q840719,sibling
Q107109269,Q269742,sibling
Q107109753,Q232285,mother
Q107109753,Q626073,father
Q1075512,Q6862536,spouse
Q107747135,Q487876,spouse
Q107999611,Q1510259,child
Q1080180,Q485517,spouse
Q108193090,Q485871,father
Q10855821,Q625650,sibling
Q10855822,Q6745643,spouse
Q10855915,Q623856,spouse
Q10874903,Q485556,spouse
Q1092288,Q11646457,father
Q109354786,Q315484,sibling
Q109457323,Q439722,sibling
Q110117754,Q272236,sibling
Q110123936,Q6408647,father
Q110124576,Q6685856,sibling
Q110125531,Q6685856,child
Q110125609,Q6685856,sibling
Q110941547,Q625487,child
Q11096031,Q257425,spouse
Q111939793,Q907913,child
Q112021444,Q229124,spouse
Q112023176,Q486074,sibling
Q112023765,Q347423,father
Q112027765,Q2856212,father
Q112550277,Q624211,spouse
Q11266502,Q494412,father
Q11266502,Q624109,sibling
Q11285292,Q491555,father
Q11286457,Q624651,spouse
Q11287136,Q313350,spouse
Q113490152,Q487885,father
Q113840,Q12612399,child
Q113840,Q171684,spouse
Q1142231,Q494334,sibling
Q11499920,Q296734,father
Q115773813,Q624795,father
Q11629173,Q485168,spouse
Q11644701,Q168567,father
Q11646457,Q1092288,child
Q116467106,Q496572,mother
Q116467107,Q496572,mother
Q11647829,Q434562,spouse
Q116694687,Q1186566,father
Q116694691,Q494239,spouse
Q116763964,Q482615,spouse
Q11682535,Q624401,sibling
Q11704505,Q270687,spouse
Q117433198,Q171684,spouse
Q117434741,Q347423,father
Q1174767,Q1741580,spouse
Q118127099,Q625257,spouse
Q1186566,Q116694687,child
Q119433166,Q347423,father
Q1195195,Q496170,sibling
Q119713819,Q459342,father
Q119714071,Q459342,father
Q121077856,Q625938,father
Q122394708,Q470047,spouse
Q122394708,Q6513165,sibling
Q122394710,Q6513165,spouse
Q122394747,Q6513165,father
Q122394748,Q6513165,father
Q122848289,Q624523,spouse
Q122928283,Q482615,child
Q122945788,Q1276156,spouse
Q123156764,Q482867,child
Q123157247,Q4022738,spouse
Q124739844,Q489778,father
Q125121411,Q3251327,father
Q12583172,Q625144,spouse
Q12583172,Q6362185,child
Q12583609,Q493893,father
Q12583935,Q469387,spouse
Q12583935,Q485587,father
Q12583935,Q6732223,mother
Q12584207,Q6776454,spouse
Q12584842,Q12587932,grandchild
Q12584842,Q215737,child
Q12585524,Q1276156,child
Q12586076,Q493857,spouse
Q12586510,Q625212,child
Q12586907,Q486374,father
Q12587187,Q495636,father
Q12587265,Q6408665,father
Q12587539,Q495636,sibling
Q12587691,Q489006,child
Q12587932,Q12584842,grandmother
Q12587932,Q215737,father
Q12587966,Q626644,child
Q12588105,Q625650,child
Q12588577,Q623521,father
Q12588638,Q626718,spouse
Q12588765,Q624322,child
Q12588854,Q486180,spouse
Q12589040,Q333163,sibling
Q12589044,Q486151,spouse
Q12589246,Q165210,father
Q12589306,Q6409686,sibling
Q12589492,Q466477,sibling
Q12589495,Q485905,spouse
Q12590047,Q384293,spouse
Q12590443,Q242651,father
Q12590443,Q625650,mother
Q12593129,Q277225,child
Q12593132,Q277225,father
Q12593614,Q482991,sibling
Q12595795,Q626273,spouse
Q12595795,Q6781815,child
Q12595851,Q484380,sibling
Q12596616,Q445643,spouse
Q12596616,Q494412,child
Q12596619,Q625096,spouse
Q12596724,Q6784089,father
Q12596927,Q484380,child
Q12597217,Q485894,spouse
Q12597420,Q302096,child
Q12597529,Q6791544,father
Q12597562,Q6791544,sibling
Q12597726,Q158056,child
Q12598177,Q486028,spouse
Q12601473,Q489173,sibling
Q12601473,Q6781666,spouse
Q12602743,Q489667,sibling
Q12604156,Q494290,father
Q12604162,Q378483,spouse
Q12604162,Q626461,child
Q12604339,Q494290,father
Q12604506,Q494290,father
Q12604649,Q168567,sibling
Q12607850,Q483344,spouse
Q12607934,Q486374,child
Q12607934,Q490001,spouse
Q12607942,Q486079,spouse
Q12608049,Q493322,spouse
Q12609551,Q483344,spouse
Q12610079,Q624515,father
Q12610164,Q390099,sibling
Q12610168,Q390099,child
Q12610215,Q192049,father
Q12610215,Q625389,mother
Q12610256,Q6617244,spouse
Q12610274,Q192049,father
Q12610274,Q625389,mother
Q12610338,Q3565110,father
Q12610338,Q623495,sibling
Q12610411,Q192111,father
Q12610444,Q491240,grandfather
Q12610476,Q482900,child
Q12610504,Q192049,sibling
Q12610846,Q625096,father
Q12610944,Q487728,father
Q12611257,Q6515011,sibling
Q12611345,Q445643,father
Q12611345,Q494412,sibling
Q12611389,Q137292194,grandchild
Q12611389,Q445643,father
Q12611389,Q494412,sibling
Q12611431,Q486074,child
Q12611449,Q6408910,spouse
Q12611579,Q624924,spouse
Q12611590,Q494412,father
Q12611590,Q624109,sibling
Q12611683,Q486559,sibling
Q12611701,Q494412,father
Q12611701,Q624109,sibling
Q12611977,Q208203,spouse
Q12612110,Q485170,child
Q12612144,Q484002,father
Q12612345,Q470047,spouse
Q12612399,Q113840,mother
Q12612399,Q171684,father
Q12612480,Q6784013,spouse
Q12612531,Q486374,spouse
Q12612583,Q6424117,spouse
Q12612620,Q486262,grandchild
Q12612841,Q6514303,child
Q12612843,Q6781730,spouse
Q12612881,Q445643,father
Q12612881,Q494412,sibling
Q12612933,Q6513165,father
Q12612933,Q6514127,child
Q12612970,Q6513165,father
Q12613036,Q490130,spouse
Q12613069,Q487728,father
Q12613186,Q313968,spouse
Q12613866,Q624109,spouse
Q12613912,Q625199,spouse
Q12614364,Q186500,child
Q12614470,Q186500,sibling
Q12614474,Q379662,father
Q12614533,Q494190,sibling
Q12614710,Q1699586,sibling
Q12614710,Q186500,father
Q12615582,Q468467,father
Q12615583,Q468467,father
Q12615586,Q468467,father
Q12615755,Q483218,sibling
Q12615792,Q6747264,spouse
Q12616661,Q482413,child
Q12616843,Q6617014,father
Q12616878,Q486241,father
Q12616984,Q489323,father
Q12617042,Q6312600,spouse
Q12617843,Q158056,grandfather
Q12617992,Q489874,spouse
Q12618537,Q1580046,father
Q12618537,Q490410,sibling
Q12618537,Q6652730,spouse
Q12618654,Q493946,father
Q12619846,Q84040,child
Q126207848,Q483683,child
Q12623986,Q2598021,child
Q12623986,Q625786,spouse
Q12625359,Q494412,spouse
Q12625359,Q624109,child
Q12625359,Q625257,sibling
Q12625503,Q625257,child
Q12625854,Q625555,spouse
Q12626230,Q485587,father
Q12626230,Q6732223,mother
Q126684243,Q2315679,sibling
Q127605666,Q128805,child
Q1276156,Q122945788,spouse
Q1276156,Q12585524,father
Q1276156,Q16163145,sibling
Q1276156,Q16177963,sibling
Q127813637,Q484024,child
Q127816710,Q128805,child
Q127819773,Q484024,sibling
Q1280778,Q317824,father
Q12834850,Q6711159,spouse
Q128454,Q334111,spouse
Q128805,Q127605666,father
Q128805,Q127816710,father
Q129471,Q482783,sibling
Q12966451,Q6408910,father
Q12972710,Q491392,child
Q130212655,Q482867,sibling
Q130217472,Q2948453,child
Q130333064,Q494662,father
Q130360428,Q488446,father
Q130376187,Q482738,mother
Q130376188,Q482738,mother
Q130411748,Q623681,sibling
Q13099645,Q493752,sibling
Q131309015,Q494662,father
Q131316099,Q488817,father
Q131451173,Q2315679,child
Q131763578,Q347423,spouse
Q131933141,Q625212,child
Q133820861,Q310971,sibling
Q133820861,Q346751,father
Q133850234,Q6783126,sibling
Q13423737,Q3484849,sibling
Q134294425,Q380681,spouse
Q134294455,Q6784197,spouse
Q134302698,Q626739,spouse
Q134316129,Q486177,spouse
Q13432221,Q6409055,child
Q134367147,Q232449,child
Q134367152,Q232449,child
Q134367213,Q488752,father
Q134367214,Q488752,father
Q134367214,Q626667,spouse
Q134367247,Q626667,father
Q134411657,Q483362,father
Q134411657,Q624795,child
Q134411774,Q624795,child
Q134411914,Q469432,father
Q134571070,Q6408870,spouse
Q135255720,Q379396,spouse
Q13553537,Q484027,sibling
Q13580246,Q334504,spouse
Q13646009,Q490938,spouse
Q13646009,Q626991,sibling
Q136696989,Q626601,sibling
Q136696989,Q6811775,sibling
Q137292194,Q12611389,grandmother
Q137299644,Q333042,child
Q137299658,Q484751,child
Q137644901,Q402179,child
Q138048,Q14356,mother
Q138048,Q20859562,sibling
Q138048,Q390099,mother
Q138048,Q7848255,sibling
Q138048,Q7848332,sibling
Q138326686,Q192111,father
Q138326687,Q192111,father
Q14304,Q3382230,sibling
Q14304,Q378483,father
Q14304,Q483255,child
Q14304,Q483467,sibling
Q14304,Q485556,sibling
Q14304,Q486251,child
Q14304,Q488670,sibling
Q14304,Q488700,sibling
Q14304,Q626461,sibling
Q14304,Q6743293,mother
Q14320941,Q6515011,spouse
Q14342,Q625487,sibling
Q14345,Q482738,spouse
Q14356,Q138048,child
Q14356,Q390099,spouse
Q14356,Q6784157,father
Q14723581,Q433389,sibling
Q1478446,Q517090,spouse
Q15057674,Q296734,father
Q15057674,Q4307062,sibling
Q15057674,Q486569,sibling
Q1510259,Q107999611,father
Q15125241,Q842800,spouse
Q153778,Q391400,sibling
Q153778,Q626491,sibling
Q1541644,Q6408881,spouse
Q15666746,Q485308,child
Q15711594,Q6409364,father
Q15732940,Q493893,sibling
Q15732940,Q493930,sibling
Q15788028,Q6408543,sibling
Q1580046,Q12618537,child
Q1580046,Q490410,child
Q158056,Q12597726,father
Q158056,Q12617843,grandchild
Q158056,Q3816460,spouse
Q1587695,Q5951894,child
Q15937927,Q496004,sibling
Q15971448,Q433389,sibling
Q15971448,Q486706,spouse
Q16068586,Q483216,spouse
Q16068617,Q494190,child
Q16080135,Q482815,spouse
Q16080136,Q625212,sibling
Q16080243,Q494222,spouse
Q16080384,Q6610677,spouse
Q16080552,Q623737,spouse
Q16080982,Q6652976,spouse
Q16082002,Q486134,spouse
Q16082942,Q6711063,spouse
Q16084347,Q459342,father
Q16090573,Q3700561,father
Q16090742,Q6513165,father
Q16090786,Q483571,spouse
Q16090786,Q6783126,sibling
Q16090812,Q6513165,father
Q16090987,Q485640,sibling
Q16091140,Q6513549,sibling
Q16091160,Q485170,father
Q16091306,Q196676,sibling
Q16091306,Q496509,child
Q16091539,Q486074,child
Q16091539,Q6747187,mother
Q16091679,Q488025,spouse
Q16091888,Q489323,father
Q16092070,Q486151,sibling
Q16092153,Q625938,father
Q16092482,Q624392,father
Q16097635,Q470047,father
Q16098012,Q623681,child
Q16163145,Q1276156,sibling
Q16168020,Q482738,child
Q16168961,Q433295,child
Q16169960,Q489934,spouse
Q16171539,Q192111,father
Q16172944,Q626092,child
Q16173605,Q704283,sibling
Q16174033,Q625291,child
Q16175060,Q6408910,spouse
Q16175314,Q6513744,sibling
Q16175491,Q468467,father
Q16176119,Q496205,father
Q16176332,Q624392,father
Q16176680,Q702565,mother
Q16177272,Q469396,father
Q16177384,Q6776261,spouse
Q16177510,Q439722,child
Q16177593,Q625257,child
Q16177787,Q232491,spouse
Q16177963,Q1276156,sibling
Q16179113,Q192049,sibling
Q16179206,Q487728,father
Q16179378,Q475420,spouse
Q16179644,Q625257,sibling
Q16179683,Q6408879,spouse
Q16179779,Q6408910,father
Q16180284,Q3382230,sibling
Q16180284,Q378483,father
Q16180284,Q483467,sibling
Q16180284,Q485556,sibling
Q16180284,Q488670,sibling
Q16180284,Q488700,sibling
Q16180284,Q626461,sibling
Q16180284,Q6743293,mother
Q16181530,Q445643,father
Q16181530,Q494412,sibling
Q16181683,Q482738,child
Q16181706,Q461374,spouse
Q16183695,Q6747187,spouse
Q16183879,Q490001,spouse
Q16184169,Q493901,spouse
Q16189313,Q6312662,spouse
Q16193195,Q484522,sibling
Q16211707,Q208203,father
Q16219820,Q242651,father
Q16219820,Q625650,mother
Q16219820,Q84040,spouse
Q16261253,Q211648,father
Q16262186,Q496205,father
Q16262234,Q379662,sibling
Q165210,Q12589246,child
Q165210,Q624253,spouse
Q1656902,Q1741601,spouse
Q1656902,Q269537,child
Q165698,Q18142600,child
Q165698,Q24856057,child
Q16586322,Q6409680,mother
Q16631014,Q495748,father
Q16726585,Q192111,father
