key,name,gender,birthdate,deathdate,description
Q100153927,김해연,f,19890309,,"South Korean singer, the sister of Taeyeon (of Girls' Generation)"
Q102036472,"child, name unknown",,19870926,,Kim Yo-jong's second child
Q102176031,Ki-hang Kim,m,19860831,20090115,Korean-American mathematician (1936-2009)
Q102225741,홍진,m,19440101,,Ph.D. Seoul National University 2000
Q102267466,조상연,m,19560620,,일본의 바둑 기사
Q102344573,이용훈,m,19810830,,"카이스트 교수, 유니스트 총장"
Q102358017,위봉,m,19260113,,Ph.D. Stanford University 1981
Q102438283,이승원,m,19760410,,"대한민국의 영화 감독, 배우 (1977년 출생)"
Q10265337,Derek Basco,m,20060917,,actor
Q103175982,전명식,m,19320101,,Ph.D. The University of Chicago 1976
Q103433501,이원주,f,19680623,,Hija de él vicepresidente de samsung Lee Jae Yong
Q103433735,이지호,m,19680623,,
Q103438021,Lee Jae-hwan,m,19310620,,
Q103674070,Lee Sook-hee,f,19100212,,
Q103674312,Lee Tae-whi,m,19100212,,
Q103674530,Lee Hye-ja,f,19100212,,
Q103674771,Lee Soon-hee,f,19100212,,
Q103675031,Lee Deok-hee,f,19100212,,
Q103684216,김희재,f,19600319,,
Q103684668,Lee Sun-ho,m,19600319,,
Q103762788,Lee Jae-kwan,m,19330524,,eldest son of Lee Young-ja and Lee Chang-hee
Q103762889,Lee Young-ja,f,19330524,,widow of Lee Chang-hee
Q103820474,김지이,f,19730920,,기업인 이서현의 딸
Q103820496,김지수,f,19730920,,기업인 이서현의 딸
Q103820499,임동현,m,19701006,,
Q104044292,이정빈,f,19940414,,타이완의 바둑 기사
Q104150525,전무식,m,19441203,20040101,Korean chemist
Q104416379,이현중,m,19651225,,South Korean basketball player
Q104469789,송슬기,f,19850919,,대한민국의 의학자
Q104540906,이하청,m,19790312,,
Q104542739,강혜정,f,19731215,,"대한민국의 영화 제작자로, 영화 관련 종사자 (1970년)"
Q10457763,남궁웅,m,19820604,,South Korean footballer
Q104585577,진한새,m,19590912,,"대한민국의 방송작가, 각본"
Q104610498,Loïc Gendry,m,19710101,,
Q10514933,이재권,m,19920810,,대한민국의 축구 선수
Q105316438,임종인,m,19590101,,대한민국의 암호학자
Q105705314,김홍은,,19961030,,
Q105705317,김화영,f,19791011,,대한민국의 여자 배우
Q105705900,안인산,m,19680101,,
Q105960413,이충우,m,19360101,20041215,"대한민국의 공무원, 삼풍백화점 붕괴에 연루"
Q1062006,김영주,m,19120415,20211201,조선민주주의인민공화국의 정치인 (1920–2021)
Q106207040,윤지선,f,19790805,,대한민국의 여성학자
Q10658709,순덕왕후,f,10500101,11180921,고려 예종의 왕후
Q10658775,원덕왕후,f,11920210,12390101,고려 강종의 왕후
Q10658795,용의왕후,f,11000101,,고려 정종의 왕후
Q106641272,Esther Mikyung Ghymn,f,19131111,,Asian American literature scholar
Q10665,김정일,m,19640828,20111217,북한의 지도자 (1940–2011)
Q106690638,Lee Jong-kun,m,19770724,,actor
Q107109039,김수현,f,19870724,,
Q107109269,배두한,m,19791011,,
Q107109495,유훈근,,19430329,,
Q107109602,이태원,m,19691001,20211024,"대한민국의 영화 제작자, 기업인 (1938–2021)"
Q107109753,지플랫,m,19730405,,대한민국의 래퍼
Q107227356,유준선,m,19950917,,dancer
Q107264820,Lee Gyeong-ryeong,f,19251129,,
Q107264822,Yuk Yong-pil,m,18930101,,1838
Q107337287,경장태자,m,10000101,,prince Hwangjuwonnang of Goryeo
Q107443498,최재형,m,19291128,,South Korean lawyer and politician
Q1075512,Cho Chi-Hyo,m,19700315,,South Korean handball player
Q107617686,조민,f,19650406,,South Korean physician
Q107656933,뤄더룽,m,19911120,,중국의 바둑 기사
Q107747135,김윤지,f,19710528,,
Q107805133,김건희,f,19601218,,윤석열 대통령의 배우자 겸 대한민국의 기업인
Q108045004,이루비,f,19970523,,대한민국의 바둑 기사
Q10822153,선우은숙,f,19500117,,대한민국의 배우
Q10829234,Trấn Thành,m,19850622,,"Vietnamese actor, comedian, businessman, filmmaker and television host"
Q108391826,김상영,m,19521106,20040101,South Korean politician
Q10855139,강윤지,f,19800222,,South Korean singer
Q10855140,강의석,m,19600101,,한국의 영화 감독이자 무신론자
Q10855787,김규철,m,19670101,,대한민국의 배우
Q10855821,김복동,m,19000101,20000419,대한민국의 정치인
